0.0192% is done | total is: 1925544512 | total time: 466.887secs | previous time: 3.178secs
0.0193% is done | total is: 1942851176 | total time: 470.255secs | previous time: 3.368secs
0.0194% is done | total is: 1955759840 | total time: 473.613secs | previous time: 3.358secs
0.0195% is done | total is: 1972538000 | total time: 476.901secs | previous time: 3.288secs
0.0196% is done | total is: 1986296864 | total time: 480.201secs | previous time: 3.299secs
0.0197% is done | total is: 2002657760 | total time: 483.590secs | previous time: 3.389secs
0.0198% is done | total is: 2018053520 | total time: 486.943secs | previous time: 3.353secs
0.0199% is done | total is: 2032595104 | total time: 490.981secs | previous time: 4.039secs
0.02% is done | total is: 2048699896 | total time: 495.614secs | previous time: 4.632secs
0.0201% is done | total is: 2063344072 | total time: 500.650secs | previous time: 5.036secs
0.0202% is done | total is: 2079275848 | total time: 505.651secs | previous time: 5.001secs
0.0203% is done | total is: 2094021496 | total time: 509.889secs | previous time: 4.238secs
0.0204% is done | total is: 2109760144 | total time: 513.243secs | previous time: 3.354secs
0.0205% is done | total is: 2125290160 | total time: 516.567secs | previous time: 3.324secs
0.0206% is done | total is: 2140935664 | total time: 520.100secs | previous time: 3.533secs
0.0207% is done | total is: 2156298136 | total time: 523.436secs | previous time: 3.336secs
0.0208% is done | total is: 2172310296 | total time: 526.754secs | previous time: 3.318secs
0.0209% is done | total is: 2187892488 | total time: 530.306secs | previous time: 3.552secs
0.021% is done | total is: 2204590344 | total time: 533.664secs | previous time: 3.358secs
0.0211% is done | total is: 2219878896 | total time: 536.919secs | previous time: 3.255secs
0.0212% is done | total is: 2236626264 | total time: 540.468secs | previous time: 3.549secs
0.0213% is done | total is: 2250696264 | total time: 543.869secs | previous time: 3.401secs
0.0214% is done | total is: 2266370712 | total time: 547.197secs | previous time: 3.329secs
0.0215% is done | total is: 2282989032 | total time: 550.848secs | previous time: 3.650secs
0.0216% is done | total is: 2298785904 | total time: 554.365secs | previous time: 3.517secs
0.0217% is done | total is: 2315436200 | total time: 557.833secs | previous time: 3.468secs
0.0218% is done | total is: 2331881720 | total time: 561.446secs | previous time: 3.613secs
0.0219% is done | total is: 2346454184 | total time: 565.037secs | previous time: 3.591secs
0.022% is done | total is: 2363595656 | total time: 568.588secs | previous time: 3.551secs
0.0221% is done | total is: 2379342368 | total time: 572.078secs | previous time: 3.490secs
0.0222% is done | total is: 2394941096 | total time: 575.645secs | previous time: 3.567secs
0.0223% is done | total is: 2412065864 | total time: 579.146secs | previous time: 3.501secs
0.0224% is done | total is: 2428302632 | total time: 582.806secs | previous time: 3.660secs
0.0225% is done | total is: 2443251872 | total time: 586.418secs | previous time: 3.612secs
0.0226% is done | total is: 2461234696 | total time: 590.023secs | previous time: 3.605secs
0.0227% is done | total is: 2476543288 | total time: 593.626secs | previous time: 3.603secs
0.0228% is done | total is: 2491609816 | total time: 597.283secs | previous time: 3.657secs
0.0229% is done | total is: 2510312776 | total time: 600.860secs | previous time: 3.578secs
0.023% is done | total is: 2526413608 | total time: 604.340secs | previous time: 3.480secs
0.0231% is done | total is: 2541320368 | total time: 608.048secs | previous time: 3.708secs
0.0232% is done | total is: 2560870600 | total time: 611.657secs | previous time: 3.609secs
0.0233% is done | total is: 2576268640 | total time: 615.423secs | previous time: 3.766secs
0.0234% is done | total is: 2592110200 | total time: 618.923secs | previous time: 3.500secs
0.0235% is done | total is: 2607382680 | total time: 622.459secs | previous time: 3.536secs
0.0236% is done | total is: 2626621104 | total time: 626.122secs | previous time: 3.663secs
0.0237% is done | total is: 2641994808 | total time: 629.994secs | previous time: 3.872secs
0.0238% is done | total is: 2657767512 | total time: 633.603secs | previous time: 3.609secs
0.0239% is done | total is: 2675396928 | total time: 637.210secs | previous time: 3.607secs
0.024% is done | total is: 2693439984 | total time: 640.999secs | previous time: 3.789secs
0.0241% is done | total is: 2709376560 | total time: 644.715secs | previous time: 3.717secs
0.0242% is done | total is: 2725605240 | total time: 648.338secs | previous time: 3.623secs
0.0243% is done | total is: 2742858360 | total time: 652.002secs | previous time: 3.664secs
0.0244% is done | total is: 2760805064 | total time: 655.632secs | previous time: 3.630secs
0.0245% is done | total is: 2777242904 | total time: 659.334secs | previous time: 3.702secs
0.0246% is done | total is: 2795042552 | total time: 662.992secs | previous time: 3.658secs
0.0247% is done | total is: 2811004688 | total time: 666.688secs | previous time: 3.696secs
0.0248% is done | total is: 2827445312 | total time: 670.366secs | previous time: 3.678secs
0.0249% is done | total is: 2844350528 | total time: 674.220secs | previous time: 3.854secs
0.025% is done | total is: 2864066360 | total time: 679.062secs | previous time: 4.842secs
0.0251% is done | total is: 2880290552 | total time: 682.665secs | previous time: 3.603secs
0.0252% is done | total is: 2897178968 | total time: 686.628secs | previous time: 3.964secs
0.0253% is done | total is: 2914144456 | total time: 690.404secs | previous time: 3.776secs
