0.0338% is done | total is: 4499961544 | total time: 1632.469secs | previous time: 15.175secs
0.0339% is done | total is: 4521235072 | total time: 1647.062secs | previous time: 14.593secs
0.034% is done | total is: 4538392384 | total time: 1658.472secs | previous time: 11.409secs
0.0341% is done | total is: 4559051272 | total time: 1670.830secs | previous time: 12.358secs
0.0342% is done | total is: 4580371816 | total time: 1683.686secs | previous time: 12.856secs
0.0343% is done | total is: 4602866280 | total time: 1696.380secs | previous time: 12.695secs
0.0344% is done | total is: 4620102816 | total time: 1709.138secs | previous time: 12.758secs
0.0345% is done | total is: 4642381536 | total time: 1721.724secs | previous time: 12.586secs
0.0346% is done | total is: 4662346824 | total time: 1734.479secs | previous time: 12.755secs
0.0347% is done | total is: 4681555584 | total time: 1746.020secs | previous time: 11.541secs
0.0348% is done | total is: 4703016648 | total time: 1757.914secs | previous time: 11.894secs
0.0349% is done | total is: 4722860232 | total time: 1769.647secs | previous time: 11.732secs
0.035% is done | total is: 4740820128 | total time: 1781.158secs | previous time: 11.511secs
0.0351% is done | total is: 4761377016 | total time: 1793.024secs | previous time: 11.866secs
0.0352% is done | total is: 4784612096 | total time: 1804.807secs | previous time: 11.782secs
0.0353% is done | total is: 4802989496 | total time: 1816.599secs | previous time: 11.792secs
0.0354% is done | total is: 4824618464 | total time: 1828.040secs | previous time: 11.441secs
0.0355% is done | total is: 4845683768 | total time: 1839.773secs | previous time: 11.732secs
0.0356% is done | total is: 4864694336 | total time: 1851.676secs | previous time: 11.903secs
0.0357% is done | total is: 4885512272 | total time: 1863.609secs | previous time: 11.933secs
0.0358% is done | total is: 4906900088 | total time: 1875.749secs | previous time: 12.140secs
0.0359% is done | total is: 4925046704 | total time: 1887.877secs | previous time: 12.128secs
0.036% is done | total is: 4947471296 | total time: 1899.734secs | previous time: 11.857secs
0.0361% is done | total is: 4964776480 | total time: 1911.511secs | previous time: 11.777secs
